Drug	Chemblid	max_phase	formula	synonyms	canonical
ASPARTIC ACID	CHEMBL274323	3.0	C4H7NO4	Aspartic acid;;;Aspartic acid;;;Aspartic acid;;;Aspartic acid;;;Aspartic acid;;;FEMA NO. 3656;;;L-aspartic acid;;;NSC-3973	N[C@@H](CC(=O)O)C(=O)O
ALANINE	CHEMBL12198	3.0	C3H7NO2	Alanine;;;Alanine;;;Alanine;;;Alanine;;;Alanine;;;E639;;;L-alanine;;;L-alanine;;;NSC-206315	CC(N)C(=O)O
SERINE	CHEMBL11298	3.0	C3H7NO3	L-serine;;;L-serine;;;NSC-118365;;;Serine;;;Serine;;;Serine;;;Serine;;;Serine	N[C@@H](CO)C(=O)O
OZAGREL	CHEMBL11662	3.0	C13H12N2O2	KCT-0809;;;Ozagrel;;;Ozagrel;;;Ozagrel;;;Ozagrel sodium	O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1
CLODRONIC ACID	CHEMBL12318	3.0	CH4Cl2O6P2	Clodronic acid;;;Clodronic acid;;;Clodronic acid;;;Clodronic acid;;;Clodronic acid;;;Clodronic acid	O=P(O)(O)C(Cl)(Cl)P(=O)(O)O
SEMUSTINE	CHEMBL12948	3.0	C10H18ClN3O2	ICIG 1110;;;ICIG-1110;;;METHYL-CCNU;;;Semustine;;;Semustine;;;Semustine;;;Semustine	CC1CCC(NC(=O)N(CCCl)N=O)CC1
SEMAXANIB	CHEMBL276711	3.0	C15H14N2O	NSC-696819;;;Semaxanib;;;Semaxanib;;;Semaxanib;;;Semaxinib;;;SU005416;;;SU5416;;;Su-5416;;;SU-5416	Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1
ORANTINIB	CHEMBL274654	3.0	C18H18N2O3	NSC-702827;;;Orantinib;;;Orantinib;;;Su-6668;;;SU-6668;;;TSU-68	Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1CCC(=O)O
DICHLOROACETIC ACID	CHEMBL13960	3.0	C2H2Cl2O2	Dichloroacetic acid;;;Dichloroacetic acid;;;Dichloroethanoic acid;;;NSC-2654	O=C(O)C(Cl)Cl
GUAIACOL	CHEMBL13766	3.0	C7H8O2	FEMA NO. 2532;;;Guaiacol;;;Guaiacol;;;Guaiacol;;;Guaiacol;;;Guaiacol;;;NSC-3815	COc1ccccc1O
ALVOCIDIB	CHEMBL428690	3.0	C21H20ClNO5	Alvocidib;;;Alvocidib;;;Alvocidib;;;Flavopiridol;;;Flavopiridol;;;HL 275;;;HL-275;;;HMR 1275;;;HMR-1275;;;L 86 8275;;;L-868275;;;L86-8275;;;MDL 107,826A;;;MDL-107826A;;;NSC-649890	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1
FLOMOXEF	CHEMBL15413	3.0	C15H18F2N6O7S2	Flomoxef;;;Flomoxef;;;Flomoxef;;;Flomoxef;;;Flomoxef sodium	CO[C@@]1(NC(=O)CSC(F)F)C(=O)N2C(C(=O)O)=C(CSc3nnnn3CCO)CO[C@@H]21
PYRIMIDINE	CHEMBL15562	3.0	C4H4N2	NSC-89305;;;Pyrimidine;;;Pyrimidine	c1cncnc1
PYRAZINE	CHEMBL15797	3.0	C4H4N2	FEMA NO. 4015;;;NSC-400221;;;Pyrazine;;;Pyrazine	c1cnccn1
URACIL	CHEMBL566	3.0	C4H4N2O2	BMS-205603-01;;;Fluorouracil specified compound c;;;Lamivudine impurity e;;;Lamivudine impurity e rs;;;NSC-3970;;;SQ-6201;;;SQ-7726;;;SQ-8493;;;Uracil;;;Uracil;;;Uracil;;;Uracil;;;Uracil	O=c1cc[nH]c(=O)[nH]1
P-TOLUENESULFONAMIDE	CHEMBL574	3.0	C7H9NO2S	NSC-9908;;;Para-toluenesulfonamide;;;Paratoulene sulfonamide;;;P-toluenesulfonamide;;;P-toluenesulfonamide	Cc1ccc(S(N)(=O)=O)cc1
SUCCINIC ACID	CHEMBL576	3.0	C4H6O4	E363;;;FEMA NO. 4719;;;NSC-106449;;;Succinic acid;;;Succinic acid;;;Succinic acid;;;Succinic acid	O=C(O)CCC(=O)O
RESINIFERATOXIN	CHEMBL17976	3.0	C37H40O9	Neuroclastin;;;Resiniferatoxin;;;Resiniferatoxin;;;Resiniferatoxin;;;RTX	C=C(C)[C@]12C[C@@H](C)[C@@]34O[C@](Cc5ccccc5)(O[C@@H]1[C@@H]3C=C(COC(=O)Cc1ccc(O)c(OC)c1)C[C@]1(O)C(=O)C(C)=C[C@H]14)O2
EFAPROXIRAL	CHEMBL18901	3.0	C20H23NO4	Efaproxiral;;;Efaproxiral;;;Efaproxiral;;;Efaproxiral;;;Efaproxiral;;;RSR13;;;RSR-13	Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C(=O)O)cc2)c1
LOXOPROFEN	CHEMBL19299	3.0	C15H18O3	Loxoprofen;;;Loxoprofen;;;Loxoprofen;;;Loxoprofen sodium	CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1
MARIMASTAT	CHEMBL279785	3.0	C15H29N3O5	BB 2516;;;BB-2516;;;GI 5712;;;GI-5712;;;KB-R 8898;;;Marimastat;;;Marimastat;;;Marimastat;;;Marimastat;;;Marimastat;;;TA 2516;;;TA-2516	CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C
IBUDILAST	CHEMBL19449	3.0	C14H18N2O	AV411;;;AV-411;;;Ibudilast;;;Ibudilast;;;Ibudilast;;;Ibudilast;;;Ibudilast;;;MN-166	CC(C)C(=O)c1c(C(C)C)nn2ccccc12
AMONAFIDE	CHEMBL428676	3.0	C16H17N3O2	Amonafide;;;Amonafide;;;Amonafide;;;AS-1413;;;NSC-308847	CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O
VANOXERINE	CHEMBL281594	3.0	C28H32F2N2O	GBR 12909;;;GBR-12909;;;Vanoxerine;;;Vanoxerine	Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1
CREATINE	CHEMBL283800	3.0	C4H9N3O2	Creatine;;;Creatine;;;Creatine;;;NSC-8752	CN(CC(=O)O)C(=N)N
PRANLUKAST	CHEMBL21333	3.0	C27H23N5O4	CCN 00401;;;CCN-00401;;;ONO 1078;;;ONO-1078;;;Pranlukast;;;Pranlukast;;;Pranlukast;;;Pranlukast;;;Pranlukast;;;RS 411;;;RS-411;;;SB 205312;;;SB-205312	O=C(Nc1cccc2c(=O)cc(-c3nn[nH]n3)oc12)c1ccc(OCCCCc2ccccc2)cc1
XANOMELINE	CHEMBL21536	3.0	C14H23N3OS	LY246708;;;LY-246708;;;LY-246708 FREE BASE;;;Xanomeline;;;Xanomeline;;;Xanomeline;;;Xanomeline	CCCCCCOc1nsnc1C1=CCCN(C)C1
AMITRIPTYLINOXIDE	CHEMBL627	3.0	C20H23NO	Amitriptylinoxide;;;Amitriptylinoxide;;;Amitriptylinoxide;;;AMITRYPTYLINE-N-OXIDE;;;J9.621K	C[N+](C)([O-])CCC=C1c2ccccc2CCc2ccccc21
BISANTRENE	CHEMBL25336	3.0	C22H22N8	Bisantrene;;;Bisantrene;;;Bisantrene;;;NSC-337766	C(=N/NC1=NCCN1)\c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12
PROPAMIDINE	CHEMBL23013	3.0	C17H20N4O2	M&B 782 [AS ISETHIONATE];;;Propamidine;;;Propamidine;;;Propamidine;;;Propamidine;;;Propamidine;;;Propamidine	N=C(N)c1ccc(OCCCOc2ccc(C(=N)N)cc2)cc1
SURAMIN	CHEMBL265502	3.0	C51H40N6O23S6	FARMA-939;;;NSC-34936;;;Suramin	Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1
SODIUM LAURYL SULFATE	CHEMBL23393	3.0	C12H25NaO4S	E487;;;NSC-402488;;;Sodium lauryl sulfate;;;Sodium lauryl sulfate;;;Sodium lauryl sulfate;;;Sodium lauryl sulfate;;;Sodium lauryl sulfate	CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
DARUSENTAN	CHEMBL23261	3.0	C22H22N2O6	Darusentan;;;Darusentan;;;Darusentan;;;HMR-4005;;;Lu-135252;;;LU-135252	COc1cc(OC)nc(O[C@H](C(=O)O)C(OC)(c2ccccc2)c2ccccc2)n1
URAPIDIL	CHEMBL279229	3.0	C20H29N5O3	NSC-310405;;;Urapidil;;;Urapidil;;;Urapidil;;;Urapidil;;;Urapidil;;;Urapidil	COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1
TESAGLITAZAR	CHEMBL282686	3.0	C20H24O7S	AR-H-039242;;;AR-H039242XX;;;Az-242;;;AZ-242;;;BR-44608;;;Galida;;;Tesaglitazar;;;Tesaglitazar;;;Tesaglitazar;;;Tesaglitazar;;;Tesaglitazar	CCO[C@@H](Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)O
ENTINOSTAT	CHEMBL27759	3.0	C21H20N4O3	Entinostat;;;Entinostat;;;Entinostat;;;Entinostat;;;MS-27-275;;;MS-275;;;MS-275-27;;;SNDX-275	Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1
HYPERICIN	CHEMBL286494	3.0	C30H16O8	Hypericin;;;Hypericin;;;NSC-407313;;;SGX301	Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65
CAFFEIC ACID	CHEMBL145	3.0	C9H8O4	2-PROPENOIC ACID, 3-(3,4-DIHYDROXYPHENYL)-, (2E)-;;;Caffeic acid;;;Caffeic acid;;;Caffeic acid;;;NSC-57197;;;NSC-623438;;;trans-Caffeate	O=C(O)/C=C/c1ccc(O)c(O)c1
CANERTINIB	CHEMBL31965	3.0	C24H25ClFN5O3	Canertinib;;;CI-1033	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1
NANDROLONE	CHEMBL757	3.0	C18H26O2	Deca-Durabolin;;;Durabolin;;;Nandrolone;;;Nandrolone;;;Nandrolone;;;Nandrolone;;;Nandrolone ciii;;;NSC-3351	C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O
MALTOL	CHEMBL31422	3.0	C6H6O3	E636;;;FEMA NO. 2656;;;Maltol;;;Maltol;;;Maltol;;;Maltol;;;NSC-2829;;;NSC-404458	Cc1occc(=O)c1O
PROPYLENE GLYCOL	CHEMBL286398	3.0	C3H8O2	E1520;;;E490;;;FEMA NO. 2940;;;NSC-69860;;;Propylene glycol;;;Propylene glycol;;;Propylene glycol;;;Propylene glycol;;;Propylene glycol cefatrizine;;;Propylene glycol dl-form;;;Sentry propylene glycol;;;Sirlene	CC(O)CO
(D)-SERINE	CHEMBL285123	3.0	C3H7NO3	D-Serine;;;(d)-serine	N[C@H](CO)C(=O)O
BROTIZOLAM	CHEMBL32479	3.0	C15H10BrClN4S	Brotizolam;;;Brotizolam;;;Brotizolam;;;Brotizolam;;;Brotizolam;;;Brotizolam;;;Brotizolam;;;Lendorm;;;WE 941;;;WE-941;;;WE-941-BS	Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2
SILYBIN A	CHEMBL431701	3.0	C25H22O10	NSC-651520;;;Silybin a;;;Silybin a;;;Silymarin	COc1cc([C@H]2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3O[C@@H]2CO)ccc1O
FASUDIL	CHEMBL38380	3.0	C14H17N3O2S	AT 877;;;AT-877;;;Fasudil;;;Fasudil;;;Fasudil;;;Fasudil;;;HA 1077;;;HA-1077;;;ZK-258594	O=S(=O)(c1cccc2cnccc12)N1CCCNCC1
PYRONARIDINE	CHEMBL35228	3.0	C29H32ClN5O2	Pyronaridine;;;Pyronaridine;;;Pyronaridine	COc1ccc2nc3cc(Cl)ccc3c(Nc3cc(CN4CCCC4)c(O)c(CN4CCCC4)c3)c2n1
CEP-1347	CHEMBL290352	3.0	C33H33N3O5S2	Cep-1347;;;CEP-1347;;;KT-1575;;;KT7515;;;KT-7515	CCSCc1ccc2c(c1)c1c3c(c4c5cc(CSCC)ccc5n5c4c1n2[C@H]1C[C@](O)(C(=O)OC)[C@]5(C)O1)CNC3=O
ETHYLENEDIAMINE	CHEMBL816	3.0	C2H8N2	Edamine;;;Edamine;;;Ethylenediamine;;;Ethylenediamine;;;Ethylenediamine;;;Ethylenediamine	NCCN
TIPIFARNIB	CHEMBL289228	3.0	C27H22Cl2N4O	R-11577;;;R115777;;;R-115777;;;Tipifarnib;;;Tipifarnib;;;Tipifarnib;;;Tipifarnib	Cn1cncc1[C@@](N)(c1ccc(Cl)cc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C
THYMOSIN	CHEMBL412531	3.0	C128H216N32O51S	Thymosin	CC[C@H](C)[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@@H](CO)NC(=O)[C@@H](CO)NC(=O)[C@H](NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](CO)NC(=O)[C@H](N)CS)C(C)C)C(C)C)C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](CCCCN)C(=O)N[C@H](CC(=O)O)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)O)C(=O)O)C(C)C)C(C)C)C(C)C)[C@H](C)O
ALIZAPRIDE	CHEMBL290194	3.0	C16H21N5O2	Alizapride;;;Alizapride;;;Alizapride;;;Alizapride;;;Litican;;;Plitican;;;Superan;;;Vergentan	C=CCN1CCCC1CNC(=O)c1cc2nn[nH]c2cc1OC
SURAMIN HEXASODIUM	CHEMBL413376	3.0	C51H34N6Na6O23S6	BAY-205;;;BAYER-205;;;CI-1003;;;FOURNEAU 309;;;FOURNEAU-309;;;Naphuride;;;NF-060;;;Suramin hexasodium;;;Suramin hexasodium;;;Suramin sodium;;;Suramin sodium;;;Suramin sodium;;;Suramin sodium	Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)[O-])c5cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c45)ccc3C)c2)c1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+]
RILMENIDINE	CHEMBL289480	3.0	C10H16N2O	Rilmenidine;;;Rilmenidine;;;Rilmenidine;;;Rilmenidine	C1COC(NC(C2CC2)C2CC2)=N1
RENZAPRIDE	CHEMBL296522	3.0	C16H22ClN3O2	ATL-1251;;;Renzapride;;;Renzapride;;;Renzapride;;;Renzapride	COc1cc(N)c(Cl)cc1C(=O)NC1CCN2CCCC1C2
PIPAMPERONE	CHEMBL440294	3.0	C21H30FN3O2	Floropipamide;;;Pipamperone;;;Pipamperone;;;Pipamperone;;;Pipamperone;;;Pipamperone;;;Pipamperone;;;Pipamperone hydrochloride;;;Pipaneperone;;;R 3345;;;R-3345	NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1
EDETIC ACID	CHEMBL858	3.0	C10H16N2O8	Edetate;;;Edetic Acid;;;Edetic acid;;;Edetic acid;;;Edetic acid;;;Edetic acid;;;Edetic acid;;;Edta;;;Edta;;;Versene acid	O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O
MIDOMAFETAMINE	CHEMBL43048	3.0	C11H15NO2	3,4-Methylenedioxymethamphetamine;;;Mdma;;;Methylenedioxy Methamphetamine;;;Methylenedioxymethamphetamine;;;Midomafetamine;;;Midomafetamine;;;Midomafetamine	CNC(C)Cc1ccc2c(c1)OCO2
BERBERINE	CHEMBL295124	3.0	C20H18NO4+	Berberine;;;Berberine	COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2
OTAMIXABAN	CHEMBL46618	3.0	C25H26N4O4	FXV-673;;;Otamixaban;;;Otamixaban;;;Otamixaban;;;RPR130673;;;RPR-130673;;;XRP0673;;;XRP-0673	COC(=O)[C@H](Cc1cccc(C(=N)N)c1)[C@@H](C)NC(=O)c1ccc(-c2cc[n+]([O-])cc2)cc1
EPIGALOCATECHIN GALLATE	CHEMBL297453	3.0	C22H18O11	(-)-Epigallocatechin Gallate;;;Epigalocatechin gallate	O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1
PUTRESCINE	CHEMBL46257	3.0	C4H12N2	NSC-60545;;;Putrescine;;;Putrescine	NCCCCN
LEVOKETOCONAZOLE	CHEMBL295698	3.0	C26H28Cl2N4O4	COR003;;;COR-003;;;DIO-902;;;Extina;;;Ketosidin;;;Ketozole;;;Levoketoconazole;;;Levoketoconazole;;;Levoketoconazole;;;Nizoral;;;Nizoral;;;Nizoral A-D;;;Panfungol;;;R-41400;;;Xolegel	CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
LIXIVAPTAN	CHEMBL49429	3.0	C27H21ClFN3O2	CRTX 080;;;CRTX-080;;;Lixar;;;Lixivaptan;;;Lixivaptan;;;Lixivaptan;;;Lixivaptan;;;VPA 985;;;Vpa-985;;;VPA-985;;;WAY-VPA-985	Cc1ccc(F)cc1C(=O)Nc1ccc(C(=O)N2Cc3cccn3Cc3ccccc32)c(Cl)c1
DABIGATRAN	CHEMBL48361	3.0	C25H25N7O3	BIBR-953;;;BIBR 953 ZW;;;BIBR-953-ZW;;;Dabigatran;;;Dabigatran;;;Dabigatran;;;Dabigatran;;;Pradaxa	Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21
EBSELEN	CHEMBL51085	3.0	C13H9NOSe	DR3305;;;DR-3305;;;Ebselen;;;Ebselen;;;Ebselen;;;Ebselen;;;NSC-639762;;;SPI-1005	O=c1c2ccccc2[se]n1-c1ccccc1
SULFORAPHANE	CHEMBL48802	3.0	C6H11NOS2	4-(Methylsulfinyl)Butyl Isothiocyanate;;;Sulforaphane;;;Sulforaphane	C[S+]([O-])CCCCN=C=S
PALIFOSFAMIDE	CHEMBL889	3.0	C4H11Cl2N2O2P	IPM;;;Isophosphamide mustard;;;N,N'-Bis-(2-Chloroethyl)Phosphoric Acid;;;NSC-297900;;;Palifosfamide;;;Palifosfamide;;;Palifosfamide;;;ZIO-201	O=P(O)(NCCCl)NCCCl
ROLOFYLLINE	CHEMBL52333	3.0	C20H28N4O2	KW 3902;;;KW-3902;;;MK-7418;;;Rolofylline;;;Rolofylline;;;Rolofylline	CCCn1c(=O)c2nc(C34CC5CC(CC3C5)C4)[nH]c2n(CCC)c1=O
LACTOSE, ANHYDROUS	CHEMBL417016	3.0	C12H22O11	Anhydrous lactose;;;Anhydrous lactose;;;Anhydrous lactose;;;Lactose;;;Lactose;;;Lactose anhydrous;;;Lactose, anhydrous;;;Lactose, anhydrous	OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
TIRAPAZAMINE	CHEMBL50882	3.0	C7H6N4O2	SR259075;;;SR-259075;;;Tirapazamine;;;Tirapazamine;;;Tirapazamine;;;Tirapazamine;;;WIN 59075;;;WIN-59075	Nc1n[n+]([O-])c2ccccc2[n+]1[O-]
GOSSYPOL	CHEMBL51483	3.0	C30H30O8	BL-193;;;(-)-Gossypol;;;Gossypol;;;Gossypol;;;NSC-56817;;;NSC-624336	Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
MITOMYCIN A	CHEMBL298359	3.0	C16H19N3O6	Mitomycin a;;;Mitomycin a;;;NSC-75986	COC1=C(C)C(=O)C2=C(C1=O)[C@@H](COC(N)=O)[C@@]1(OC)[C@H]3N[C@H]3CN21
IMIDAFENACIN	CHEMBL53366	3.0	C20H21N3O	Imidafenacin;;;Imidafenacin;;;Imidafenacin;;;Imidafenacin;;;KRP-197;;;ONO-8025	Cc1nccn1CCC(C(N)=O)(c1ccccc1)c1ccccc1
ZUCLOPENTHIXOL	CHEMBL53904	3.0	C22H25ClN2OS	Clopenthixol;;;Clopenthixol cis(z)-form;;;Zuclopenthixol;;;Zuclopenthixol;;;Zuclopenthixol;;;Zuclopenthixol	OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1
SARPOGRELATE	CHEMBL52939	3.0	C24H31NO6	Sarpogrelate;;;Sarpogrelate;;;Sarpogrelate hydrochloride	COc1cccc(CCc2ccccc2OCC(CN(C)C)OC(=O)CCC(=O)O)c1
FLUPENTIXOL	CHEMBL54661	3.0	C23H25F3N2OS	Flupentixol;;;Flupentixol;;;Flupentixol;;;Flupentixol;;;Flupentixol;;;Flupentixol;;;LC 44;;;LC-44;;;N-7009	OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
ARBACLOFEN	CHEMBL301742	3.0	C10H12ClNO2	Arbaclofen;;;Arbaclofen;;;Arbaclofen;;;Baclofen (r)-form;;;STX209;;;STX-209	NC[C@H](CC(=O)O)c1ccc(Cl)cc1
ENZASTAURIN	CHEMBL300138	3.0	C32H29N5O2	DB102;;;DB-102;;;Enzastaurin;;;Enzastaurin;;;Enzastaurin;;;Enzastaurin;;;Kinenza;;;LY317615;;;Ly-317615;;;LY-317615	Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21
NERIDRONIC ACID	CHEMBL55214	3.0	C6H17NO7P2	Neridronic acid;;;Neridronic acid;;;Neridronic acid	NCCCCCC(O)(P(=O)(O)O)P(=O)(O)O
PHENYLALANINE	CHEMBL301523	3.0	C9H11NO2	FEMA NO. 3585;;;L-phenylalanine;;;L-phenylalanine;;;L-phenylalanine;;;NSC-79477;;;Phenylalanine;;;Phenylalanine;;;Phenylalanine;;;Phenylalanine;;;Phenylalanine;;;Phenylalanine	N[C@@H](Cc1ccccc1)C(=O)O
LEUCINE	CHEMBL291962	3.0	C6H13NO2	E641;;;FEMA NO. 3297;;;Leucine;;;Leucine;;;Leucine;;;Leucine;;;Leucine;;;L-leucine;;;L-leucine;;;NSC-46709	CC(C)C[C@H](N)C(=O)O
ORNITHINE	CHEMBL446143	3.0	C5H12N2O2	Ornithine;;;Ornithine;;;Ornithine	NCCC[C@H](N)C(=O)O
AZILSARTAN	CHEMBL57242	3.0	C25H20N4O5	Azilsartan;;;Azilsartan;;;Azilsartan;;;Azilsartan;;;Azilsartan;;;TAK-536	CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2noc(O)n2)cc1
ECOPIPAM	CHEMBL298406	3.0	C19H20ClNO	Ecopipam;;;Ecopipam;;;SCH-39166	CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccccc3CC[C@@H]21
LERISETRON	CHEMBL56900	3.0	C18H20N4	Lerisetron;;;Lerisetron	c1ccc(Cn2c(N3CCNCC3)nc3ccccc32)cc1
ENCLOMIPHENE	CHEMBL954	3.0	C26H28ClNO	Cisclomiphene;;;Clomiphene trans-form;;;Enclomifene;;;Enclomiphene;;;Enclomiphene;;;Isomer B;;;ISOMER B;;;ISOMER-B;;;Milophene;;;RMI 16,289;;;RMI-16289;;;Serophene	CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccccc2)cc1
MOSAPRIDE	CHEMBL60889	3.0	C21H25ClFN3O3	Mosapride;;;Mosapride;;;Mosapride;;;Mosapride	CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1
TEZOSENTAN	CHEMBL61780	3.0	C27H27N9O6S	ACT-050089;;;Ro 61-0612;;;Ro-610612;;;Tezosentan;;;Tezosentan;;;Tezosentan;;;Veletri	COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)C)cn2)nc(-c2ccnc(-c3nn[nH]n3)c2)nc1OCCO
NAPABUCASIN	CHEMBL64130	3.0	C14H8O4	2-Acetylfuranonaphthoquinone;;;BBI608;;;BBI-608;;;Napabucasin;;;Napabucasin;;;Napabucasin;;;Napabucasin	CC(=O)c1cc2c(o1)C(=O)c1ccccc1C2=O
CREATININE	CHEMBL65567	3.0	C4H7N3O	Creatinine;;;Creatinine;;;Creatinine;;;Creatinine;;;NSC-13123	CN1CC(=O)N=C1N
SSR125543	CHEMBL291657	3.0	C27H28ClFN2OS	Crinecerfont;;;Nbi-74788;;;Ssr125543	C#CCN(c1nc(-c2cc(C)c(OC)cc2Cl)c(C)s1)[C@@H](CC1CC1)c1ccc(C)c(F)c1
LAQUINIMOD	CHEMBL66092	3.0	C19H17ClN2O3	ABR-215062;;;ABR-215062 FREE ACID;;;Laquinimod;;;Laquinimod;;;Laquinimod;;;Laquinimod;;;TV-5600 FREE ACID	CCN(C(=O)c1c(O)c2c(Cl)cccc2n(C)c1=O)c1ccccc1
TALABOSTAT	CHEMBL67279	3.0	C9H19BN2O3	PT-100;;;Talabostat;;;Talabostat;;;Talabostat;;;Valinyl-L-Boroproline	CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O
VOSAROXIN	CHEMBL68117	3.0	C18H19N5O4S	AG-7352;;;SNS-595;;;SPC-595;;;Voreloxin;;;Vosaroxin;;;Vosaroxin;;;Vosaroxin;;;Vosaroxin	CN[C@H]1CN(c2ccc3c(=O)c(C(=O)O)cn(-c4nccs4)c3n2)C[C@@H]1OC
RESVERATROL	CHEMBL165	3.0	C14H12O3	3,5,4'-Trihydroxy-trans-stilbene;;;BIA 6-512;;;BIA-6-512;;;(E)-resveratrol;;;NSC-327430;;;Resveratrol;;;Resveratrol;;;Trans-resveratrol	Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
ACOLBIFENE	CHEMBL68055	3.0	C29H31NO4	Acolbifene;;;Acolbifene;;;Acolbifene;;;Acolbifene;;;Em-652;;;SCH57068;;;SCH-57068	CC1=C(c2ccc(O)cc2)[C@H](c2ccc(OCCN3CCCCC3)cc2)Oc2cc(O)ccc21
PIPERAQUINE	CHEMBL303933	3.0	C29H32Cl2N6	Piperaquine	Clc1ccc2c(N3CCN(CCCN4CCN(c5ccnc6cc(Cl)ccc56)CC4)CC3)ccnc2c1
PELUBIPROFEN	CHEMBL69308	3.0	C16H18O3	CS-670;;;Pelubiprofen;;;Pelubiprofen;;;Pelubiprofen;;;RS-2131	CC(C(=O)O)c1ccc(/C=C2\CCCCC2=O)cc1
